Tax Year,Income Range,Children,Number of Claims,Credit Amount Claimed,Avg Credit
2011,"$8,001 - $12,000",2+,7544,1731,230
2011,"$12,001 - $16,000",0,27337,233,9
2011,"$12,001 - $16,000",1,49465,7478,151
2011,"$12,001 - $16,000",2,43078,10810,251
2011,"$12,001 - $16,000",2+,14560,4114,283
2011,"$16,001 - $20,000",0,4466,24,5
2011,"$16,001 - $20,000",1,39426,5574,141
2011,"$16,001 - $20,000",2,30890,7465,242
2011,"$16,001 - $20,000",2+,12572,3491,278
2011,"$20,001 - $24,000",0,0,0,0
2011,"$20,001 - $24,000",1,34810,4036,116
2011,"$20,001 - $24,000",2,23758,5025,212
2011,"$20,001 - $24,000",2+,10415,2681,257
2011,"$24,001 - $28,000",0,0,0,0
2011,"$24,001 - $28,000",1,30791,2625,85
2011,"$24,001 - $28,000",2,20234,3433,170
2011,"$24,001 - $28,000",2+,7710,1642,213
2011,"$28,001 - $32,000",0,0,0,1
2011,"$28,001 - $32,000",1,0,0,54
2011,"$28,001 - $32,000",2,18067,2299,127
2011,"$28,001 - $32,000",2+,6623,1112,168
2011,"$32,001 - $36,000",0,17,0,1
2011,"$32,001 - $36,000",1,22690,531,23
2011,"$32,001 - $36,000",2,16149,1375,85
2011,"$32,001 - $36,000",2+,6017,750,125
2011,"$36,001 - $40,000",0,0,0,0
2011,"$36,001 - $40,000",1,3587,86,24
2011,"$36,001 - $40,000",2,12423,577,46
2011,"$36,001 - $40,000",2+,4966,425,86
2011,"$40,001 - $44,000",0,0,0,1
2011,"$40,001 - $44,000",1,0,0,5
2011,"$40,001 - $44,000",2,4640,139,30
2011,"$40,001 - $44,000",2+,3737,178,48
2011,"$44,001 - $48,000",0,0,0,0
2011,"$44,001 - $48,000",1,0,0,0
2011,"$44,001 - $48,000",2,1343,14,11
2011,"$44,001 - $48,000",2+,1752,54,31
2011,"$48,001 AND OVER",0,0,0,0
2011,"$48,001 AND OVER",1,0,0,0
2011,"$48,001 AND OVER",2,0,0,0
2011,"$48,001 AND OVER",2+,316,2,6
2012,"$0 - $4,000",0,56090,663,12
2012,"$0 - $4,000",1,12673,490,39
2012,"$0 - $4,000",2,4626,206,44
2012,"$0 - $4,000",2+,1363,67,49
2012,"$4,001 - $8,000",0,100339,2129,21
2012,"$4,001 - $8,000",1,30028,3159,105
2012,"$4,001 - $8,000",2,10437,1294,124
2012,"$4,001 - $8,000",2+,2983,419,141
2012,"$8,001 - $12,000",0,83035,1369,16
2012,"$8,001 - $12,000",1,67902,10350,152
2012,"$8,001 - $12,000",2,22002,4452,202
2012,"$8,001 - $12,000",2+,6792,1560,230
2012,"$12,001 - $16,000",0,32005,294,9
2012,"$12,001 - $16,000",1,48182,7430,154
2012,"$12,001 - $16,000",2,41033,10473,255
2012,"$12,001 - $16,000",2+,14199,4090,288
2012,"$16,001 - $20,000",0,5594,36,6
2012,"$16,001 - $20,000",1,39487,5808,147
2012,"$16,001 - $20,000",2,29975,7478,249
2012,"$16,001 - $20,000",2+,12323,3516,285
2012,"$20,001 - $24,000",0,0,0,1
2012,"$20,001 - $24,000",1,0,0,123
2012,"$20,001 - $24,000",2,22833,5058,222
2012,"$20,001 - $24,000",2+,10470,2807,268
2012,"$24,001 - $28,000",0,0,0,0
2012,"$24,001 - $28,000",1,29756,2752,92
2012,"$24,001 - $28,000",2,19426,3514,181
2012,"$24,001 - $28,000",2+,7685,1737,226
2012,"$28,001 - $32,000",0,0,0,0
2012,"$28,001 - $32,000",1,25721,1572,61
2012,"$28,001 - $32,000",2,17215,2394,139
2012,"$28,001 - $32,000",2+,6700,1207,180
2012,"$32,001 - $36,000",0,0,0,0
2012,"$32,001 - $36,000",1,22368,674,30
2012,"$32,001 - $36,000",2,15771,1517,96
2012,"$32,001 - $36,000",2+,5946,816,137
2012,"$36,001 - $40,000",0,0,0,1
2012,"$36,001 - $40,000",1,6632,126,19
2012,"$36,001 - $40,000",2,0,0,57
2012,"$36,001 - $40,000",2+,4898,479,98
2012,"$40,001 - $44,000",0,0,0,1
2012,"$40,001 - $44,000",1,1565,13,8
2012,"$40,001 - $44,000",2,0,0,33
2012,"$40,001 - $44,000",2+,0,0,58
2012,"$44,001 - $48,000",0,0,0,0
2012,"$44,001 - $48,000",1,0,0,1
2012,"$44,001 - $48,000",2,2170,36,16
2012,"$44,001 - $48,000",2+,2056,75,37
2012,"$48,001 AND OVER",0,0,0,1
2012,"$48,001 AND OVER",1,0,0,0
2012,"$48,001 AND OVER",2,0,0,0
2012,"$48,001 AND OVER",2+,0,0,12
2013,"$0 - $4,000",0,58723,668,11
2013,"$0 - $4,000",1,11128,442,40
2013,"$0 - $4,000",2,3898,175,45
2013,"$0 - $4,000",2+,1185,57,48
2013,"$4,001 - $8,000",0,103666,2207,21
2013,"$4,001 - $8,000",1,28001,2961,106
2013,"$4,001 - $8,000",2,9265,1152,124
2013,"$4,001 - $8,000",2+,2624,363,138
2013,"$8,001 - $12,000",0,87726,1544,18
2013,"$8,001 - $12,000",1,69688,10915,157
2013,"$8,001 - $12,000",2,19238,3912,203
2013,"$8,001 - $12,000",2+,6073,1399,230
2013,"$12,001 - $16,000",0,38965,364,9
2013,"$12,001 - $16,000",1,48673,7772,160
2013,"$12,001 - $16,000",2,41512,10839,261
2013,"$12,001 - $16,000",2+,14378,4235,295
2013,"$16,001 - $20,000",0,7067,51,7
2013,"$16,001 - $20,000",1,40489,6222,154
2013,"$16,001 - $20,000",2,29593,7676,259
2013,"$16,001 - $20,000",2+,12367,3648,295
2013,"$20,001 - $24,000",0,0,0,1
2013,"$20,001 - $24,000",1,35409,4617,130
2013,"$20,001 - $24,000",2,0,0,233
2013,"$20,001 - $24,000",2+,10519,2932,279
2013,"$24,001 - $28,000",0,0,0,0
2013,"$24,001 - $28,000",1,30473,3078,101
2013,"$24,001 - $28,000",2,19567,3819,195
2013,"$24,001 - $28,000",2+,7933,1915,241
2013,"$28,001 - $32,000",0,0,0,1
2013,"$28,001 - $32,000",1,0,0,69
2013,"$28,001 - $32,000",2,17023,2592,152
2013,"$28,001 - $32,000",2+,6705,1311,195
2013,"$32,001 - $36,000",0,0,0,1
2013,"$32,001 - $36,000",1,0,0,38
2013,"$32,001 - $36,000",2,15459,1682,109
2013,"$32,001 - $36,000",2+,5968,905,152
2013,"$36,001 - $40,000",0,0,0,1
2013,"$36,001 - $40,000",1,0,0,19
2013,"$36,001 - $40,000",2,12655,860,68
2013,"$36,001 - $40,000",2+,4864,539,111
2013,"$40,001 - $44,000",0,0,4834,1
2013,"$40,001 - $44,000",1,0,0,13
2013,"$40,001 - $44,000",2,7870,294,37
2013,"$40,001 - $44,000",2+,3873,275,71
2013,"$44,001 - $48,000",0,0,0,0
2013,"$44,001 - $48,000",1,0,0,1
2013,"$44,001 - $48,000",2,0,0,24
2013,"$44,001 - $48,000",2+,2645,113,43
2013,"$48,001 AND OVER",0,0,0,1
2013,"$48,001 AND OVER",1,0,0,1
2013,"$48,001 AND OVER",2,189,0,2
2013,"$48,001 AND OVER",2+,1263,24,19
2014,"$0 - $4,000",0,55258,546.309,10
2014,"$0 - $4,000",1,9165,354.832,39
2014,"$0 - $4,000",2,3111,135.796,44
2014,"$0 - $4,000",2+,925,44.713,48
2014,"$4,001 - $8,000",0,102523,2240.442,22
2014,"$4,001 - $8,000",1,24957,2622.051,105
2014,"$4,001 - $8,000",2,7731,949.754,123
2014,"$4,001 - $8,000",2+,2231,306.308,137
2014,"$8,001 - $12,000",0,92607,1705.394,18
2014,"$8,001 - $12,000",1,70642,11103.862,157
2014,"$8,001 - $12,000",2,17779,3589.548,202
2014,"$8,001 - $12,000",2+,5304,1211.954,228
2014,"$12,001 - $16,000",0,45045,426.456,9
2014,"$12,001 - $16,000",1,47980,7736.182,161
2014,"$12,001 - $16,000",2,40609,10665.098,263
2014,"$12,001 - $16,000",2+,14517,4311.156,297
2014,"$16,001 - $20,000",0,9330,73.339,8
2014,"$16,001 - $20,000",1,42299,6701.006,158
2014,"$16,001 - $20,000",2,31102,8246.644,265
2014,"$16,001 - $20,000",2+,13291,3994.837,301
2014,"$20,001 - $24,000",0,0,0,0
2014,"$20,001 - $24,000",1,36886,5044.759,137
2014,"$20,001 - $24,000",2,23891,5789.637,242
2014,"$20,001 - $24,000",2+,11083,3189.804,288
2014,"$24,001 - $28,000",0,0,0,0
2014,"$24,001 - $28,000",1,31229,3362.321,108
2014,"$24,001 - $28,000",2,20109,4128.071,205
2014,"$24,001 - $28,000",2+,8553,2160.61,253
2014,"$28,001 - $32,000",0,0,0,0
2014,"$28,001 - $32,000",1,25913,1930.341,74
2014,"$28,001 - $32,000",2,17169,2790.405,163
2014,"$28,001 - $32,000",2+,6663,1379.817,207
2014,"$32,001 - $36,000",0,0,0,0
2014,"$32,001 - $36,000",1,22980,975.86,42
2014,"$32,001 - $36,000",2,0,0,118
2014,"$32,001 - $36,000",2+,5867,949.591,162
2014,"$36,001 - $40,000",0,0,0,1
2014,"$36,001 - $40,000",1,13353,273.644,20
2014,"$36,001 - $40,000",2,12740,967.672,76
2014,"$36,001 - $40,000",2+,5080,606.997,119
2014,"$40,001 - $44,000",0,0,0,1
2014,"$40,001 - $44,000",1,0,0,16
2014,"$40,001 - $44,000",2,8878,356.858,40
2014,"$40,001 - $44,000",2+,3978,316.778,80
2014,"$44,001 - $48,000",0,0,0,0
2014,"$44,001 - $48,000",1,0,0,0
2014,"$44,001 - $48,000",2,2861,91.942,32
2014,"$44,001 - $48,000",2+,2727,129.342,47
2014,"$48,001 AND OVER",0,0,0,0
2014,"$48,001 AND OVER",1,0,0,1
2014,"$48,001 AND OVER",2,0,0,6
2014,"$48,001 AND OVER",2+,1742,40.648,23
