year,Income Range,Number of Children,Number of Claims,Credit Claimed,Avg Credit
2012,"$32,001 AND OVER",2 or more,30841,2923,94
2013,"$0 - $4,000",0,58723,668,11
2013,"$0 - $4,000",1,11128,442,40
2013,"$0 - $4,000",2 or more,5083,232,46
2013,"$4,001 - $8,000",0,103666,2207,21
2013,"$4,001 - $8,000",1,28001,2961,106
2013,"$4,001 - $8,000",2 or more,11889,1515,127
2013,"$8,001 - $12,000",0,87726,1544,18
2013,"$8,001 - $12,000",1,69688,10915,157
2013,"$8,001 - $12,000",2 or more,25311,5311,209
2013,"$12,001 - $16,000",0,38965,364,9
2013,"$12,001 - $16,000",1,48673,7772,160
2013,"$12,001 - $16,000",2 or more,55890,15074,270
2013,"$16,001 - $20,000",0,7067,51,7
2013,"$16,001 - $20,000",1,40489,6222,154
2013,"$16,001 - $20,000",2 or more,41960,11324,270
2013,"$20,001 - $24,000",0,0,0,1
2013,"$20,001 - $24,000",1,35409,4617,130
2013,"$20,001 - $24,000",2 or more,10519,2932,279
2013,"$24,001 - $28,000",0,0,0,0
2013,"$24,001 - $28,000",1,30473,3078,101
2013,"$24,001 - $28,000",2 or more,27500,5734,208
2013,"$28,001 - $32,000",0,0,0,1
2013,"$28,001 - $32,000",1,0,0,69
2013,"$28,001 - $32,000",2 or more,23728,3903,164
2013,"$32,001 AND OVER",0,0,4834,0
2013,"$32,001 AND OVER",1,0,0,0
2013,"$32,001 AND OVER",2 or more,54786,4692,86
2014,"$0 - $4,000",0,55258,546,10
2014,"$0 - $4,000",1,9165,355,39
2014,"$0 - $4,000",2 or more,4036,181,45
2014,"$4,001 - $8,000",0,102523,2240,22
2014,"$4,001 - $8,000",1,24957,2622,105
2014,"$4,001 - $8,000",2 or more,9962,1256,126
2014,"$8,001 - $12,000",0,92607,1705,18
2014,"$8,001 - $12,000",1,70642,11104,157
2014,"$8,001 - $12,000",2 or more,23083,4802,208
2014,"$12,001 - $16,000",0,45045,426,9
2014,"$12,001 - $16,000",1,47980,7736,161
2014,"$12,001 - $16,000",2 or more,55126,14976,272
2014,"$16,001 - $20,000",0,9330,73,8
2014,"$16,001 - $20,000",1,42299,6701,158
2014,"$16,001 - $20,000",2 or more,44393,12241,276
2014,"$20,001 - $24,000",0,0,0,0
2014,"$20,001 - $24,000",1,36886,5045,137
2014,"$20,001 - $24,000",2 or more,34974,8979,257
2014,"$24,001 - $28,000",0,0,0,0
2014,"$24,001 - $28,000",1,31229,3362,108
2014,"$24,001 - $28,000",2 or more,28662,6289,219
2014,"$28,001 - $32,000",0,0,0,0
2014,"$28,001 - $32,000",1,25913,1930,74
2014,"$28,001 - $32,000",2 or more,23832,4170,175
2014,"$32,001 AND OVER",0,0,0,0
2014,"$32,001 AND OVER",1,36333,1250,34
2014,"$32,001 AND OVER",2 or more,43873,3460,79
